S.No,"Company Name","Company Email",Address,"Contact No.","Point of Name","Point of Contact",Credits,Varification,Date
971,"Galasso Real Estate Services",,"40 Southern Ave, Pittsburgh, PA 15211",+1+14124310500,,,0,Pending,"2024-09-13 06:50:32"
972,"Forbes Management",,"6236 Fifth Ave, Suite 105C, Pittsburgh, PA 15232",+1+14124411211,,,0,Pending,"2024-09-13 06:50:31"
973,"Berkshire Hathaway Homeservices The Preferred Property Management Company",,"3820 Old William Penn Hwy, Murrysville, PA 15668",+1+17247337100,,,0,Pending,"2024-09-13 06:50:30"
974,"Becoate Property Management",,"538 Monongahela Ave, Glassport, PA 15045",+1+14126720450,,,0,Pending,"2024-09-13 06:50:29"
975,"Bc Artman Co Inc",,"3614 Brownsville Rd, Pittsburgh, PA 15227",+1+14128844900,,,0,Pending,"2024-09-13 06:50:28"
976,"Arkham Realty",,"800 Vinial St, Suite B302A, Pittsburgh, PA 15212",+1+14126650500,,,0,Pending,"2024-09-13 06:50:26"
977,"Arbors Management Inc",,"1670 Golden Mile Hwy Rt 286, Monroeville, PA 15146",+1+18009631280,,,0,Pending,"2024-09-13 06:50:24"
978,"Willamette Meadow Property Management",,"2667 Commercial St SE, Salem, OR 97302",+1+15035074248,,,0,Pending,"2024-09-13 06:50:23"
979,"Vail Properties Property Management Service",,"4676 Commercial St, Suite A-27, Salem, OR 97302",+1+15033739667,,,0,Pending,"2024-09-13 06:50:22"
980,"Summit Rental Management Llc",,"2100 Lancaster Dr NE, 2B, Salem, OR 97305",+1+15037791595,,,0,Pending,"2024-09-13 06:50:21"
981,"Steelhead Property Management",,"1010 Main Street, Lebanon, OR 97355",+1+15035060715,,,0,Pending,"2024-09-13 06:50:20"
982,"Sky Home Rentals Llc",,"170 Kanuku Ct SE, Salem, OR 97306",+1+15034206550,,,0,Pending,"2024-09-13 06:50:19"
983,"Riches Management",,"P.O. Box 5014, Salem, OR 97304",+1+15039329368,,,0,Pending,"2024-09-13 06:50:18"
984,"Pikes Northwest Llc",,"3550 Liberty Rd S, Ste 200, Salem, OR 97302",+1+15035883586,,,0,Pending,"2024-09-13 06:50:16"
985,"Pacific West Property Management Llc",,"4285 Commercial St SE, Salem, OR 97302",+1+15038712701,,,0,Pending,"2024-09-13 06:50:15"
986,"Northwest Pacific Property Management",,"4646 Ridge Dr NE, Salem, OR 97301",+1+15033620030,,,0,Pending,"2024-09-13 06:50:12"
987,"Legacy Real Estate Group",,"2110 Mission St SE, Suite 310, Salem, OR 97302",+1+15033901375,,,0,Pending,"2024-09-13 06:50:11"
988,"Jars Of Clay Property Management Llc",,"787 Carter Ave NW, Salem, OR 97304",+1+15039679038,,,0,Pending,"2024-09-13 06:50:10"
989,"Encompass Management Consulting",,"4833 River Rd N, Keizer, OR 97303",+1+15033649607,,,0,Pending,"2024-09-13 06:50:09"
990,"Crown Property Management Inc",,"357 Glen Creek Rd NW, #37, Salem, OR 97304",+1+15034852600,,,0,Pending,"2024-09-13 06:50:08"
991,"Centurion Real Estate Management",,"1365 Commercial St SE, Salem, OR 97302",+1+15035880940,,,0,Pending,"2024-09-13 06:50:07"
992,"Blue Pacific Vacation Rentals",,"1174 Cornucopia St NW, #210, Salem, OR 97304",+1+15033622965,,,0,Pending,"2024-09-13 06:50:06"
993,"Bertolucci Management Inc",,"2385 Liberty St NE, Salem, OR 97301",+1+15035852848,,,0,Pending,"2024-09-13 06:50:04"
994,"Ashbea Property Management",,"874 James St, Independence, OR 97351",+1+15033022634,,,0,Pending,"2024-09-13 06:50:03"
995,"Zad Realty Property Management Llc",,"9020 SW Washington Square Rd., Ste. 430 Portland, OR 97223",+1+15038101095,,,0,Pending,"2024-09-13 06:50:02"
996,"Windermere Property Management",,"6110 North Lombard St. Portland, OR 97203",+1+15035467902,,,0,Pending,"2024-09-13 06:50:01"
997,"Trilliant Property Management",,"3995 Hagers Grove Rd. SE Salem, OR 97317",+1+15033084498,,,0,Pending,"2024-09-13 06:50:00"
998,"Tindell Co",,"3590 SW Troy St. Portland, OR 97219",+1+15032658164,,,0,Pending,"2024-09-13 06:49:59"
999,"Sleep Sound Property Management Inc",,"4415 NE Sandy Blvd., Ste. 20 Portland, OR 97213",+1+15039190471,,,0,Pending,"2024-09-13 06:49:58"
1000,"Residential Property Management Inc",,"10725 SW Barbur Blvd. Ste. 390 Portland, OR 97219",+1+15032458022,,,0,Pending,"2024-09-13 06:49:56"
1001,"Rental Management Services",,"2617 NE MLK Jr. Blvd. Portland,OR 97212",+1+15032808786,,,0,Pending,"2024-09-13 06:49:55"
1002,"Regency Property Management",,"250 NE 181st Ave Portland, OR 97230",+1+15036707739,,,0,Pending,"2024-09-13 06:49:54"
1003,"Profound Properties Llc",,"3530 SW 178th Ave. Beaverton, OR 97003",+1+15039647142,,,0,Pending,"2024-09-13 06:49:53"
1004,"Profast Property Management",,"650 NE Holladay St. #1600 Portland, OR 97232",+1+19713190230,,,0,Pending,"2024-09-13 06:49:52"
1005,"Portland Property Management",,"5279 North Lombard St. Portland, OR 97203",+1+15035508720,,,0,Pending,"2024-09-13 06:49:50"
1006,"Pilot Property Management Llc",,"19354 SW Mohave Ct. Tualatin, OR 97062",+1+15036108698,,,0,Pending,"2024-09-13 06:49:49"
1007,"Performance Properties Inc",,"1584 Holly St. West Linn, OR 97068",+1+15036350099,,,0,Pending,"2024-09-13 06:49:47"
1008,"Peak Property Management",,"17708 S Hattan Road Oregon City, OR 97045",+1+19718018818,,,0,Pending,"2024-09-13 06:49:46"
1009,"North Star Property Management",,"430 5th St. Suite C Lake Oswego, OR 97034",+1+15036362232,,,0,Pending,"2024-09-13 06:49:45"
1010,"Mjp Property Management",,"2808 NE Martin Luther King Jr Blvd. Ste. G Portland, OR 97212",+1+15032824696,,,0,Pending,"2024-09-13 06:49:43"
1011,"Mainlander Property Management Inc",,"3927 Lake Grove Ave. Lake Oswego, OR 97035",+1+15036354477,,,0,Pending,"2024-09-13 06:49:42"
1012,"Legacy Property Management",,"15635 SE 114th Ave., Ste. 206 Clackamas, OR 97015",+1+15037659479,,,0,Pending,"2024-09-13 06:49:41"
1013,"Kerr Properties Inc",,"18024 SE Pine St. Portland, OR 97233",+1+15036660922,,,0,Pending,"2024-09-13 06:49:40"
1014,"Jim Mcneeley Real Estate And Property Management Inc",,"1519 SW Marlow Ave. Portland, OR 97225",+1+15032928125,,,0,Pending,"2024-09-13 06:49:38"
1015,"Jenkins Davisson Llc",,"21420 Willamette Dr. Ste. B West Linn, OR 97068",+1+15033767234,,,0,Pending,"2024-09-13 06:49:36"
1016,"Grid Property Management Llc",,"975 SE Sandy Blvd., Suite 200, Portland, OR 97214",+1+15033215140,,,0,Pending,"2024-09-13 06:49:34"
1017,"Green Keys Property Management Llc",,"7324 North Vincent Ave. Portland, OR 97217",+1+15037582628,,,0,Pending,"2024-09-13 06:49:33"
1018,"Fox Management Inc",,"2316 NE Glisan St. Portland, OR 97232",+1+15032800241,,,0,Pending,"2024-09-13 06:49:32"
1019,"Fortress Property Management Inc",,"6130 NE 78th Ct., Ste. C-1 Portland, OR 97218",+1+15037528519,,,0,Pending,"2024-09-13 06:49:31"
1020,"Eagle Property Management",,"1610 Lee St Lake Oswego, OR 97034",+1+15036979500,,,0,Pending,"2024-09-13 06:49:30"
1021,"Carefree Property Management Inc",,"8925 SW Beaverton-Hillsdale Hwy. Ste C Portland, OR 97225",+1+15032978111,,,0,Pending,"2024-09-13 06:49:28"
1022,"Capital Property Management Services Inc",,"1539 NW 19th Ave. Portland, OR 97209",+1+15032874346,,,0,Pending,"2024-09-13 06:49:26"
1023,"Alder Property Management",,"4110 SE Hawthorne Blvd. #220 Portland, OR 97214",+1+15034199798,,,0,Pending,"2024-09-13 06:49:24"
1024,"Affinity Property Management",,"1303 SW 16th Ave Portland, OR 97201",+1+15034122404,,,0,Pending,"2024-09-13 06:49:23"
1025,"Tandem Property Management Inc",,"1200 SW 66th Ave #300, Portland, OR 97225",+1+15032220007,,,0,Pending,"2024-09-13 06:49:22"
1026,"Streetwise Property Management Inc",,"16255 SW Railroad St, Sherwood, OR 97140",+1+15033891266,,,0,Pending,"2024-09-13 06:49:21"
1027,"Sauco Properties Llc",,"6125 NE Cornell Rd, Ste 350, Hillsboro, OR 97124",+1+15039419024,,,0,Pending,"2024-09-13 06:49:19"
1028,"Rosecity Property Management Services",,"125 S 1st Ave #3732, Hillsboro, OR 9712",+1+19712452125,,,0,Pending,"2024-09-13 06:49:18"
1029,"Residential Rental Group Llc",,"855 NE 25th Ave, Hillsboro, OR 97124",+1+15038447480,,,0,Pending,"2024-09-13 06:49:17"
1030,"Rent Portland Home",,"12985 NW Cornell Rd, Ste 100, Portland, OR 97229",+1+15035153170,,,0,Pending,"2024-09-13 06:49:16"
1031,"Real Property Management Assurance",,"14335 SW Allen Blvd, Suite 208, Portland, OR 97005",+1+19712702600,,,0,Pending,"2024-09-13 06:49:14"
1032,"Platform Realty Group",,"6265 NE Cherry Dr, Hillsboro, OR 97124",+1+15036109280,,,0,Pending,"2024-09-13 06:49:13"
1033,"Passadore Properties Inc",,"105 Southwest 85th Ave, Portland, OR 97225",+1+15032928595,,,0,Pending,"2024-09-13 06:49:12"
1034,"Pack First Properties Inc",,"4660 NE Belknap Ct, #101-D, Hillsboro, OR 97124",+1+15036483000,,,0,Pending,"2024-09-13 06:49:11"
1035,"Pacific Nw Properties",,"6600 SW 105th Ave, Ste 175, Beaverton, OR 97008",+1+15036263500,,,0,Pending,"2024-09-13 06:49:10"
1036,"Lifestyle Properties Llc",,"100 North Springbrook Rd, Newberg, OR 97132",+1+19718323399,,,0,Pending,"2024-09-13 06:49:08"
1037,"Sterling West Property Management",,"1390 Oleander Street, Suite B, Medford, OR 97504",+1+15417793615,,,0,Pending,"2024-09-13 06:49:07"
1038,"Rogue Valley Property Management Real Estate Services Inc",,"131 Northeast B Street, Grants Pass, OR 97526",+1+15419557300,,,0,Pending,"2024-09-13 06:49:06"
1039,"Rentec Direct",,"231 Southwest I Street, Grants Pass, OR 97526",+1+15422166000,,,0,Pending,"2024-09-13 06:49:05"
1040,"Property Management Pros Rogue Valley",,"315 Boardman Street, Medford, OR 97501",+1+15412481866,,,0,Pending,"2024-09-13 06:49:04"
1041,"Property Management Professionals",,"525 Northeast 6th Street, Grants Pass, OR 97526",+1+15412442444,,,0,Pending,"2024-09-13 06:49:02"
1042,"J L Moore Property Management Llc",,"5247 Teresa Way, Central Point, OR 97502",+1+15416643187,,,0,Pending,"2024-09-13 06:49:01"
1043,"Integrity Property Management",,"55 South Fifth Street, Suite R, Central Point, OR 97502",+1+15414144477,,,0,Pending,"2024-09-13 06:49:00"
1044,"Hull Cummings Properties Llc",,"236 Northwest B Street, Grants Pass, OR 97526",+1+15414728817,,,0,Pending,"2024-09-13 06:48:59"
1045,"Cpm Real Estate Services",,"126 Northeast F Street, Grants Pass, OR 97526",+1+15419559193,,,0,Pending,"2024-09-13 06:48:58"
1046,"Complete Real Estate Services Inc",,"525 Northeast 7th Street, Grants Pass, OR 97526",+1+15414793395,,,0,Pending,"2024-09-13 06:48:57"
1047,"Collins Real Estate And Property Management",,"1455 Northeast 6th Street, Grants Pass, OR 97526",+1+15414741566,,,0,Pending,"2024-09-13 06:48:56"
1048,"Choice One Property Management",,"521 South Riverside Avenue, Medford, OR 97501",+1+15416228270,,,0,Pending,"2024-09-13 06:48:55"
1049,"Century 21 Jc Jones American Dream",,"858 Northwest 6th Street, Grants Pass, OR 97526",+1+15414766502,,,0,Pending,"2024-09-13 06:48:53"
1050,"541 Property Management",,"3098 Southwest University Road Unit B, Grants Pass, OR 97527",+1+15414761026,,,0,Pending,"2024-09-13 06:48:52"
1051,"221 Property Services Inc",,"303 Northwest E Street, Grants Pass, OR 97526",+1+15414742881,,,0,Pending,"2024-09-13 06:48:51"
1052,"Uptown Properties",,"3526 SW Troy, Portland, OR 97219",+1+15039410276,,,0,Pending,"2024-09-13 06:48:50"
1053,"The Alpine Group Inc",,"4750 SW Washington Ave, Beaverton, OR 97005",+1+15036414620,,,0,Pending,"2024-09-13 06:48:49"
1054,"Specialized Realty Services",,"14631 SW Millikan Way Suite 46, Beaverton, OR 97003",+1+15035338022,,,0,Pending,"2024-09-13 06:48:48"
1055,"Rmb Associates Llc",,"13230 SW Oakwood St, Beaverton, OR 97005",+1+15033191206,,,0,Pending,"2024-09-13 06:48:46"
1056,"Rent Portland Homes Professionals",,"9725 SW Beaverton Hillsdale Hwy, Suite 120, Beaverton, OR 97005",+1+15036469664,,,0,Pending,"2024-09-13 06:48:45"
1057,"Real Property Management Solutions",,"10725 SW Barbur Blvd, Suite 200, Portland, OR 97219",+1+15032243002,,,0,Pending,"2024-09-13 06:48:44"
1058,"Profound Properties Llc",,"3530 SW 178th Ave, Beaverton, OR 97003",+1+15036490777,,,0,Pending,"2024-09-13 06:48:43"
1059,"Njw Property Management Llc",,"8630 SW Scholls Ferry Rd #201, Beaverton, OR 97008",+1+19714096735,,,0,Pending,"2024-09-13 06:48:41"
1060,"Milestone Property Management",,"6823 SW Canyon Rd, Portland, OR 97225",+1+15032972542,,,0,Pending,"2024-09-13 06:48:40"
1061,"Markus Associates",,"9655 SW Sunshine Ct, Suite 1100, Beaverton, OR 97005",+1+15036464909,,,0,Pending,"2024-09-13 06:48:39"
1062,"Lux Property Management",,"2442 NW Thurman St, Portland, OR 97210",+1+14156864147,,,0,Pending,"2024-09-13 06:48:38"
1063,"Holland Properties Inc",,"5295 NE Elam Young Pkwy, Suite 110, Hillsboro, OR 97124",+1+15035332121,,,0,Pending,"2024-09-13 06:48:37"
1064,"Greenbridge Properties",,"511 SW 10th Ave, Suite 1008, Portland, OR 97205",+1+15036176414,,,0,Pending,"2024-09-13 06:48:36"
1065,"Esg Real Estate Llc",,"14335 SW Allen Blvd, Suite 101, Beaverton, OR 97005",+1+15037466506,,,0,Pending,"2024-09-13 06:48:35"
1066,"Bluestone Real Estate Services",,"4915 SW Griffith Dr, Suite 300, Beaverton, OR 97005",+1+15032223800,,,0,Pending,"2024-09-13 06:48:33"
1067,"Blue Key Property Management",,"8885 SW Canyon Rd, Ste 115, Portland, OR 97225",+1+15035056461,,,0,Pending,"2024-09-13 06:48:32"
1068,"Associated Property Management Inc",,"408 SE Baseline St, Hillsboro, OR 97123",+1+15036482150,,,0,Pending,"2024-09-13 06:48:31"
1069,"Acorn Property Management",,"10725 SW Barbur Blvd, Suite 370, Portland, OR 97219",+1+19713526760,,,0,Pending,"2024-09-13 06:48:30"
1070,"Velocity Property Management Llc",,"2524 NE Division St #1, Bend, OR 97703",+1+15413881382,,,0,Pending,"2024-09-13 06:48:29"
1071,"The Rental Shop Inc",,"61396 South Hwy 97, Suite 228, Bend, OR 97702",+1+15413892260,,,0,Pending,"2024-09-13 06:48:28"
1072,"River Bend Property Management",,"55 SW Wall St #17, Bend, OR 97702",+1+15418155141,,,0,Pending,"2024-09-13 06:48:27"
1073,"Preferred Residential",,"115 NW Oregon Avenue, Suite 14, Bend, OR 97703",+1+15413063654,,,0,Pending,"2024-09-13 06:48:25"
1074,"Pmi Central Oregon",,"3218 NE Spring Creek Pl, Bend, OR 97701",+1+15417087521,,,0,Pending,"2024-09-13 06:48:24"
1075,"Plus Property Management",,"695 SW Mill View Way, Suite 106, Bend, OR 97702",+1+15413892486,,,0,Pending,"2024-09-13 06:48:23"
1076,"Mt Bachelor Property Management",,"642 NW Arizona Ave, Bend, OR 97703",+1+15416405551,,,0,Pending,"2024-09-13 06:48:22"
1077,"Mountain View Property Management",,"644 NE Greenwood Ave, Bend, OR 97701",+1+15413308373,,,0,Pending,"2024-09-13 06:48:21"
1078,"Lava Ridge Property Management",,"1661 NE 4th St, Suite 200, Bend, OR 97701",+1+15413065042,,,0,Pending,"2024-09-13 06:48:20"
1079,"Hummingbird Property Management Llc",,"1230 Northeast 3rd St, Suite A-160C, Bend, OR 97701",+1+15413181080,,,0,Pending,"2024-09-13 06:48:19"
1080,"High Country Property Management Llc",,"P.O. Box 2123, Bend, OR 97709",+1+15413823166,,,0,Pending,"2024-09-13 06:48:18"
1081,"Fratzke Commercial Real Estate",,"963 SW Simpson Ave, Suite 220, Bend, OR 97702",+1+15413064948,,,0,Pending,"2024-09-13 06:48:16"
1082,"Elevation Property Management",,"2660 NE Hwy 20, Suite 610-383, Bend, OR 97701",+1+15416472251,,,0,Pending,"2024-09-13 06:48:15"
1083,"Distinct Dwelling Property Management",,"21074 Pettigrew Ct, Bend, OR 97702",+1+15416712098,,,0,Pending,"2024-09-13 06:47:14"
1084,"Desert Pine Properties",,"1045 NW Bond St, Suite 212, Bend, OR 97703",+1+15413889973,,,0,Pending,"2024-09-13 06:47:13"
1085,"Brick House Property Management",,"384 SW Upper Terrace Dr, Suite 106, Bend, OR 97702",+1+15418487556,,,0,Pending,"2024-09-13 06:47:12"
1086,"Bend Property Management",,"405 NE Seward Ave, Bend, OR 97701",+1+15413827727,,,0,Pending,"2024-09-13 06:47:11"
1087,"Bend Group Property Management",,"2900 NW Clearwater Dr, Suite 200, Bend, OR 97703",+1+15415484556,,,0,Pending,"2024-09-13 06:47:10"
1088,"Bend Dutch Property Management Inc",,"549 SW Mill View Way, #208, Bend, OR 97702","+1+1541797 0484",,,0,Pending,"2024-09-13 06:47:09"
1089,"A Superior Property Management Company Llc",,"225 NW Franklin Ave, Bend, OR 97703",+1+15413308403,,,0,Pending,"2024-09-13 06:47:08"
1090,"Sowins Real Estate Property Management",,"280 SE Marlin Ave, Warrenton, OR 97146",+1+15038611717,,,0,Pending,"2024-09-13 06:47:07"
1091,"Romds Property Services",,"3095 US-101, Gearhart, OR 97138",+1+15039221056,,,0,Pending,"2024-09-13 06:47:06"
1092,"River Sea Property Management Llc",,"757 W Marine Dr, Astoria, OR 97103",+1+15034684706,,,0,Pending,"2024-09-13 06:47:05"
1093,"Oregon Beach Vacations",,"948 N Roosevelt, Seaside, OR 97138",+1+15035287480,,,0,Pending,"2024-09-13 06:47:03"
1094,"Nest Property Management",,"1126 Marine Dr, Astoria, OR 97103",+1+15034075312,,,0,Pending,"2024-09-13 06:47:02"
1095,"Manzanita Beach Getaway Vacation Rentals",,"532 Laneda Ave, Manzanita, OR 97130",+1+18553682929,,,0,Pending,"2024-09-13 06:47:01"
1096,"Jvb Management Llc",,"2035 5th St, Astoria, OR 97103",+1+14803099083,,,0,Pending,"2024-09-13 06:47:00"
1097,"Cps Management",,"3643 Hwy 101 N, Gearhart, OR 97138",+1+15037385488,,,0,Pending,"2024-09-13 06:46:58"
1098,"Community Property Management",,"175 14th St, Suite 120, Astoria, OR 97103",+1+15033255678,,,0,Pending,"2024-09-13 06:46:57"
1099,"Cannon Beach Vacation Rentals",,"164 Sunset Blvd, Cannon Beach, OR 97110",+1+18664360940,,,0,Pending,"2024-09-13 06:46:56"
1100,"Cannon Beach Property Management",,"3188 S Hemlock St, Cannon Beach, OR 97110",+1+18773863402,,,0,Pending,"2024-09-13 06:46:55"
1101,"Beachcomber Vacation Homes",,"115 Sunset Blvd, Cannon Beach, OR 97110",+1+18552194758,,,0,Pending,"2024-09-13 06:46:54"
1102,"Beach Property Management",,"800 N Roosevelt Dr, Suite 20, Seaside, OR 97138",+1+15037389068,,,0,Pending,"2024-09-13 06:46:53"
1103,"Ziprent Featured",,"10260 SW Greenburg Road, Suite 400, Portland, OR 97223",+1+19713398461,,,0,Pending,"2024-09-13 06:46:52"
1104,"Windermere Property Management",,"987 NW Circle Blvd, Corvallis, OR 97330",+1+15417546102,,,0,Pending,"2024-09-13 06:46:50"
1105,"Watson Management Services",,"626 Queen Ave SW, Albany, OR 97322",+1+15412483993,,,0,Pending,"2024-09-13 06:46:48"
1106,"Vallis Property Management",,"675 Church St NE, Salem, OR 97301",+1+15035699337,,,0,Pending,"2024-09-13 06:46:47"
1107,"Trio Property Management Inc",,"1000 Willagillespie Rd #206, Eugene, OR 97401",+1+15414341900,,,0,Pending,"2024-09-13 06:46:46"
1108,"Steelhead Property Management",,"1010 Main Street, Lebanon, OR 97355",+1+15035060700,,,0,Pending,"2024-09-13 06:46:45"
1109,"Smi Property Management",,"3625 River Rd N, Keizer, OR 97303",+1+15035856176,,,0,Pending,"2024-09-13 06:46:44"
1110,"Premium Property Management Inc",,"1190 Fairview Ave SE, Salem, OR 97302",+1+15035852266,,,0,Pending,"2024-09-13 06:46:43"
1111,"Northwest Investment Management Inc",,"736 Queen Ave SW, Albany, OR 97321",+1+15419286257,,,0,Pending,"2024-09-13 06:46:42"
1112,"Murray Rentals",,"2311 Queen Ave SE, Albany, OR 97322",+1+15419285874,,,0,Pending,"2024-09-13 06:46:41"
1113,"Longstreet Property Management",,"552 SW 3rd St, Corvallis, OR 97333",+1+15034363300,,,0,Pending,"2024-09-13 06:46:40"
1114,"Lepman Properties",,"180 Ferry St NW, Albany, OR 97321",+1+15419280156,,,0,Pending,"2024-09-13 06:46:39"
1115,"Fulcrum Property Management",,"922 NW Circle Blvd, Suite 160, Corvallis, OR 97330",+1+15412248321,,,0,Pending,"2024-09-13 06:46:38"
1116,"Fernwood Circle Property Management",,"1110 NW Fernwood Cir, Corvallis, OR 97330",+1+15412073547,,,0,Pending,"2024-09-13 06:46:37"
1117,"Elite Property Management",,"351 NW Jackson Ave, Corvallis, OR 97330",+1+15417540928,,,0,Pending,"2024-09-13 06:46:36"
1118,"Duerksen Associates Inc",,"913 NW Grant Ave, Corvallis, OR 97330",+1+15417533620,,,0,Pending,"2024-09-13 06:46:35"
1119,"Diversified Property Management",,"1010 Airport Rd SE, Albany, OR 97322",+1+15417914052,,,0,Pending,"2024-09-13 06:46:34"
1120,"Corvallis Property Management Llc",,"P.O. Box 2373, Corvallis, OR 97339",+1+15416029860,,,0,Pending,"2024-09-13 06:46:33"
1121,"Centurion Real Estate Management Llc",,"2380 NW Kings Blvd, Suite 301, Corvallis, OR 97330",+1+15417584200,,,0,Pending,"2024-09-13 06:46:32"
1122,"At Home Properties Inc",,"300 SW 2nd St, Corvallis, OR 97333",+1+15412248700,,,0,Pending,"2024-09-13 06:46:31"
1123,"Albany Property Management",,"919 Elm St SW, Albany, OR 97321",+1+15419818427,,,0,Pending,"2024-09-13 06:46:30"
1124,"Vicki Berg",,"4322 E 51st Street, Ste 102 Tulsa, OK 74135",+1+19186645756,,,0,Pending,"2024-09-13 06:46:28"
1125,"Tulsa Property Group Leasing Management",,"5401 South Sheridan Rd #108 Tulsa, OK 74145",+1+19186650212,,,0,Pending,"2024-09-13 06:46:26"
1126,"Tmc Property Management",,"4343 S. 109th E. Ave. Tulsa, OK 74146",+1+19186024220,,,0,Pending,"2024-09-13 06:46:25"
1127,"Reynolds Realty",,"5350 E. 46th. St. #147 Tulsa, OK 74135",+1+19186222920,,,0,Pending,"2024-09-13 06:46:24"
1128,"Renters Place",,"7170 S Braden Ave., Unit #140 Tulsa, OK 74136",+1+19187288080,,,0,Pending,"2024-09-13 06:46:23"
1129,"Real Property Management Tulsa",,"4833 S. Sheridan RD, Suite 400 Tulsa, Oklahoma 74145",+1+19185327020,,,0,Pending,"2024-09-13 06:46:21"
1130,"Property Frameworks",,"8018 S Memorial Drive Tulsa, OK 74133",+1+19185165131,,,0,Pending,"2024-09-13 06:46:20"
1131,"Properties Plus",,"7040 S Yale Ave Tulsa, OK 74136",+1+19184888880,,,0,Pending,"2024-09-13 06:46:19"
1132,"Price Family Properties",,"15 E. 5th St., Ste. 400 Tulsa, OK 74103",+1+19186059130,,,0,Pending,"2024-09-13 06:46:18"
1133,"Mcgraw Realtors",,"4105 S Rockford Avenue Tulsa, OK 74105",+1+19185926000,,,0,Pending,"2024-09-13 06:46:16"
1134,"John Hausam Property Management Leasing",,"8988 S. Sheridan Rd, Suite J Tulsa, Ok 74133",+1+19184928700,,,0,Pending,"2024-09-13 06:46:15"
1135,Homeworx,,"1831 E 71st St, Suite 300 Tulsa, OK 74136",+1+19187969679,,,0,Pending,"2024-09-13 06:46:14"
1136,"Home Life Leasing Property Management",,"5103 S. Sheridan Road Ste. 313 Tulsa, OK 74145",+1+19185876916,,,0,Pending,"2024-09-13 06:46:13"
1137,"First Commercial Real Estate Services Corporation",,"8301 E. 74th Pl. Tulsa, OK 74133",+1+19189211677,,,0,Pending,"2024-09-13 06:46:12"
1138,"Case Associates",,"4200 E. Skelly Drive, Suite 800 Tulsa, OK 74135",+1+19186109369,,,0,Pending,"2024-09-13 06:23:56"
1139,"Bryan Properties",,"12504 E 21st St. Tulsa, OK 74129",+1+19184370277,,,0,Pending,"2024-09-13 06:23:55"
1140,"Bailey Foristell Inc",,"1220 S. Galveston Tulsa, OK 74127",+1+19185990884,,,0,Pending,"2024-09-13 06:23:53"
1141,"Bailey Properties",,"5103 S. Sheridan Road Ste. 313 Tulsa, OK 74145",+1+19184942600,,,0,Pending,"2024-09-13 06:23:49"
1142,"Accent Property Management Services Inc",,"4625 South Harvard Ave., Ste 100 Tulsa, OK 74135",+1+19189916722,,,0,Pending,"2024-09-13 06:23:47"
1143,"Keyrenter Tulsa Property Management Featured",,"110 S. Hartford Ave, Suite 2502 Tulsa, OK 74137",+1+19183517000,,,0,Pending,"2024-09-13 06:23:46"
1144,"Tb Realty",,"6001 Northwest Expressway Oklahoma City, OK 73132",+1+14056071311,,,0,Pending,"2024-09-13 06:23:45"
1145,"T J Property Management",,"7220 S Western Avenue Oklahoma City, OK 73139",+1+14056006911,,,0,Pending,"2024-09-13 06:23:44"
1146,"Success Management And Consultants Inc",,"310 NE 28th Street, #212 Oklahoma City, OK 73105",+1+14054747001,,,0,Pending,"2024-09-13 06:23:42"
1147,"Sterling Property Management",,"15100 S Western Avenue, #100 Oklahoma City, OK 73170",+1+14053102222,,,0,Pending,"2024-09-13 06:23:42"
1148,"Spectrum Management Service",,"4801 N Classen Boulevard, #131 Oklahoma City, OK 73118",+1+14058489400,,,0,Pending,"2024-09-13 06:23:41"
1149,"Southwest Home Rentals Inc",,"4524 S May Avenue Oklahoma City, OK 73119",+1+14056817272,,,0,Pending,"2024-09-13 06:23:40"
1150,"Real Property Management Enterprises",,"3141 NW 63rd Oklahoma City, OK 73116",+1+14054630040,,,0,Pending,"2024-09-13 06:23:39"
1151,"Remax Energy Property Management",,"335 S Mustang Road Yukon, OK 73099",+1+14059190460,,,0,Pending,"2024-09-13 06:23:38"
1152,"Pmi Oklahoma City",,"2525 Northwest Expressway, Suite 624 Oklahoma City, OK 73112",+1+14055180103,,,0,Pending,"2024-09-13 06:23:37"
1153,"Okc Home Realty Services Llc",,"2532 W I 44 Service Road Oklahoma City, OK 73112",+1+14052325800,,,0,Pending,"2024-09-13 06:23:36"
1154,"Net Management",,"116 W. Main Street Norman, OK 73069",+1+14057013686,,,0,Pending,"2024-09-13 06:23:35"
1155,"Miller Home Solutions",,"820 NW 13th Street Oklahoma City, OK 73106",+1+14052284906,,,0,Pending,"2024-09-13 06:23:34"
1156,"Levelone Property Management",,"5900 Mosteller Drive, Suite 1, Oklahoma City, OK 73112",+1+14058499998,,,0,Pending,"2024-09-13 06:23:33"
1157,"Key Realty And Property Management",,"426 NW 5th Street, Suite 150 Oklahoma City, OK 73102",+1+14056056445,,,0,Pending,"2024-09-13 06:23:31"
1158,"Kevo Property Management",,"2422 N Robinson Avenue Oklahoma City, OK 73103",+1+14052469669,,,0,Pending,"2024-09-13 06:23:30"
1159,"Integrity Oklahoma Llc",,"6051 N Brookline Avenue, #135A Oklahoma City, OK 73112",+1+14052836521,,,0,Pending,"2024-09-13 06:23:29"
1160,"Homes 4 Lease",,"3800 N Portland Avenue, #200 Oklahoma City, OK 73112",+1+14059179002,,,0,Pending,"2024-09-13 06:23:27"
